@Relation TRAINING

@ATTRIBUTE jap_yen NUMERIC
@ATTRIBUTE euro NUMERIC
@ATTRIBUTE bitcoin NUMERIC

@DATA
97.602,0.756052,109.11
97.545,0.75626,100.17
97.545,0.75626,104.22
98.6165,0.754418,107.36
96.278,0.753126,106.56
95.9115,0.750464,102
94.747,0.749334,99.01
94.2005,0.74997,99.42
94.09,0.749235,99.37
94.09,0.749235,100
94.917,0.749738,104.5
95.232,0.745805,105.24
95.255,0.746169,102.61
97.999,0.75613,101.8
97.616,0.76063,100
97.905,0.76202,100.41
97.905,0.76202,99.47
97.673,0.762184,97.87
97.73,0.763962,98.77
97.6965,0.768936,96.31
98.3745,0.766989,89.96
99.261,0.76876,88.98
99.145,0.76864,89.53
99.145,0.76864,84.5
99.647,0.76549,88
100.678,0.76937,77.01
99.935,0.768847,79.4
100.056,0.774174,66.93
101.0135,0.77919,66.34
101.185,0.77924,73.96
101.185,0.77924,74.4
100.93,0.777605,75.01
100.987,0.783193,86.19
100.375,0.77795,87.13
99.295,0.766525,90.17
99.385,0.765345,91.67
99.225,0.76529,90.03
99.225,0.76529,93.78
99.915,0.765378,91.55
99.141,0.760835,90.97
99.505,0.76085,85.28
100.478,0.762693,86.51
100.3135,0.761035,85.04
100.645,0.760745,85.93
100.645,0.760745,85.6
99.528,0.757889,86.98
99.547,0.75643,88.42
100.323,0.758465,90.16
99.5335,0.754937,89.95
98.0985,0.75281,88.16
98.295,0.75307,92.71
98.295,0.75307,93.39
97.817,0.754385,96.57
98.0515,0.75469,98.28
98.282,0.752505,96.62
99.446,0.756545,95.85
98.959,0.75275,95.55
98.965,0.7529,96.38
98.965,0.7529,97.81
98.546,0.754151,97.69
97.704,0.75183,97.09
96.5175,0.749626,94.27
96.369,0.74705,92.27
96.3715,0.749238,93.51
96.265,0.74951,94.09
96.265,0.74951,95.35
96.54,0.751456,98.15
98.254,0.754234,99.19
98.134,0.754795,98.08
97.488,0.749905,98.25
97.639,0.75069,99.71
97.5145,0.75037,99.3
97.525,0.750185,102.85
97.701,0.749365,104.87
97.275,0.745376,110.43
97.618,0.747776,109.12
98.641,0.748207,107.65
98.7275,0.747075,109.15
98.745,0.747275,113.12
98.745,0.747275,111.9
98.6725,0.748055,117.75
97.095,0.746715,117.91
97.735,0.750261,118.5
98.227,0.754995,124.86
98.175,0.756945,128
98.185,0.75637,130.66
98.165,0.75626,130.15
99.309,0.757805,129.18
99.2545,0.759145,122.81
99.758,0.757261,122.5
100.105,0.762204,117.67
99.1235,0.759712,119.93
99.115,0.758725,118.34
99.115,0.758725,121.68
99.558,0.753705,122.07
100.29,0.753695,127.55
99.905,0.75103,126.38
99.355,0.751936,127.71
99.2415,0.751767,124.49
99.355,0.751935,125.36
99.355,0.751935,126.27
99.003,0.749626,126.92
99.241,0.74852,127
98.856,0.747854,124.18
99.298,0.739275,122.91
99.3495,0.738905,123.39
99.335,0.739425,123.27
99.335,0.739425,122.63
98.924,0.740705,123.86
98.926,0.741548,123.25
98.5035,0.739372,124.84
98.932,0.741675,126.95
98.1865,0.739391,126.54
98.2305,0.73953,127.01
98.275,0.739535,126.25
98.3515,0.738795,127.33
98.0485,0.739063,103.85
97.489,0.736063,117.63
97.239,0.73416,121.94
97.4,0.73787,121.2
97.495,0.737575,122.49
97.495,0.737575,123.5
96.944,0.736594,124.13
96.944,0.736703,125.9
97.2665,0.739919,126.8
98.102,0.739095,127.38
98.507,0.738605,127.98
98.575,0.738445,132.82
98.575,0.738445,135.42
98.2615,0.736453,142.76
98.61,0.740727,137.56
98.8235,0.740083,143.94
97.9085,0.731692,152.89
97.816,0.730354,166
97.755,0.730835,166.59
97.755,0.730835,180.13
98.16,0.731155,189.75
98.034,0.725497,203.96
97.255,0.72519,193.87
97.336,0.72427,186.6
97.47,0.724805,179.56
97.425,0.724375,194
97.425,0.724375,196.62
97.685,0.725111,204.69
98.178,0.727575,197.54
98.2175,0.726375,203.54
98.292,0.735995,202.15
98.754,0.74118,204.86
98.695,0.741395,210
98.695,0.741395,226.83
98.636,0.73999,242.9
98.635,0.742305,263.24
98.609,0.739128,291
98.562,0.746823,334
98.993,0.748632,341.24
99.055,0.7481,323
99.085,0.747945,343.91
99.206,0.745879,354.96
99.6075,0.74466,393.5
99.256,0.743072,416.95
99.956,0.742525,412
100.231,0.74184,434.53
100.162,0.74094,477.38
100.185,0.740855,669.01
100.04,0.739653,536.01
100.143,0.739099,599
99.999,0.743309,720
100.9545,0.742324,795
101.2625,0.738007,829.15
101.255,0.737625,800.05
101.255,0.737625,817.88
101.71,0.740793,916.3
101.4,0.737678,963.98
102.16,0.737124,1012.98
102.272,0.73524,1131.99
102.464,0.735378,1119.52
102.445,0.735675,955
102.445,0.735675,1047.47
103.04,0.738005,1055
102.295,0.73505,1132.01
102.5,0.737442,1023.87
101.826,0.73154,814.91
102.79,0.730175,693.3
