Timestamp,Date,Avg Rate (%/day),Total Amount Active Swaps (USD)
1463081556,5/12/16 21:32,0.05039,31508565.9
1463077954,5/12/16 20:32,0.05031,31492571.07
1463074358,5/12/16 19:32,0.05024,31474309.8
1463070755,5/12/16 18:32,0.04996,31452119.49
1463067152,5/12/16 17:32,0.0498,31439090.12
1463063561,5/12/16 16:32,0.04997,31600347.79
1463059953,5/12/16 15:32,0.05004,31613711.93
1463056359,5/12/16 14:32,0.04998,31660689.26
1463052754,5/12/16 13:32,0.04993,31677840.03
1463049155,5/12/16 12:32,0.04969,31715667.35
1463045570,5/12/16 11:32,0.04972,31691005.95
1463041980,5/12/16 10:33,0.04974,31710044.71
1463038269,5/12/16 9:31,0.04964,31678087.31
1463034665,5/12/16 8:31,0.04973,31680662.77
1463031060,5/12/16 7:31,0.04948,32368157.97
1463027443,5/12/16 6:30,0.04945,32361300.25
1463023843,5/12/16 5:30,0.04951,32416223.35
1463020247,5/12/16 4:30,0.04949,32394682.15
1463016671,5/12/16 3:31,0.04942,32374682.02
1463013054,5/12/16 2:30,0.04904,32343546.94
1463009467,5/12/16 1:31,0.04897,32246247.48
1463005939,5/12/16 0:32,0.04894,32242936.44
1463002352,5/11/16 23:32,0.04889,32207267.8
1462998755,5/11/16 22:32,0.04877,32116990.01
1462995160,5/11/16 21:32,0.04876,32148819.27
1462991560,5/11/16 20:32,0.04868,32035616.44
1462987955,5/11/16 19:32,0.04856,32044523.01
1462984288,5/11/16 18:31,0.04846,32106022.87
1462980700,5/11/16 17:31,0.04835,32065241.03
1462977162,5/11/16 16:32,0.04828,31990582.16
1462973555,5/11/16 15:32,0.04816,31973318.12
1462969940,5/11/16 14:32,0.04815,31966254.34
1462966349,5/11/16 13:32,0.04817,31952269.64
1462962745,5/11/16 12:32,0.04818,31993976.9
1462959162,5/11/16 11:32,0.04817,32024088.83
1462955538,5/11/16 10:32,0.04818,31947722.53
1462951966,5/11/16 9:32,0.04818,31936455.37
1462948340,5/11/16 8:32,0.04805,31898823.68
1462944759,5/11/16 7:32,0.04794,31894753.98
1462941140,5/11/16 6:32,0.04789,31879884.27
1462937559,5/11/16 5:32,0.04779,31913296.27
1462933939,5/11/16 4:32,0.04772,31783721.34
1462930356,5/11/16 3:32,0.0477,31831590.3
1462926759,5/11/16 2:32,0.0477,31843548.93
1462923143,5/11/16 1:32,0.04754,31736086.39
1462919546,5/11/16 0:32,0.04746,31811182.71
1462915955,5/10/16 23:32,0.04739,31765286.65
1462912344,5/10/16 22:32,0.04733,31727824.27
1462908764,5/10/16 21:32,0.04727,31742827.26
1462905143,5/10/16 20:32,0.04723,31718077.02
1462901559,5/10/16 19:32,0.0471,31665336.72
1462897962,5/10/16 18:32,0.0477,31580865.92
1462894352,5/10/16 17:32,0.04768,31540575.97
1462890666,5/10/16 16:31,0.04766,31512474.86
1462887110,5/10/16 15:31,0.0477,31571148.03
1462883510,5/10/16 14:31,0.04778,31599425.39
1462879914,5/10/16 13:31,0.0479,31630271.19
1462876310,5/10/16 12:31,0.04812,32618257.44
1462872704,5/10/16 11:31,0.04651,31910495.81
1462869108,5/10/16 10:31,0.04625,31776197.22
1462865515,5/10/16 9:31,0.04626,31718867.67
1462861905,5/10/16 8:31,0.04626,31716813.04
1462858314,5/10/16 7:31,0.04623,31766230.31
1462854701,5/10/16 6:31,0.04618,31766764.89
1462851117,5/10/16 5:31,0.04617,31759547.75
1462847519,5/10/16 4:31,0.04613,31785615.49
1462843903,5/10/16 3:31,0.04609,31775915.28
1462840296,5/10/16 2:31,0.04598,31588608.33
1462836716,5/10/16 1:31,0.04602,31629475.04
1462833101,5/10/16 0:31,0.04605,31540976.41
1462829500,5/9/16 23:31,0.0459,31553505.99
1462825917,5/9/16 22:31,0.04574,31358446.3
